ChoiceColumn,Values
IdeaStatus,"Submitted,Screening,Assessment,Prioritized,Development,Pilot,Deployed,Scaling,On Hold,Rejected,Archived"
AICapabilityArea,"Generative AI,Machine Learning,Natural Language Processing,Computer Vision,Robotic Process Automation,Predictive Analytics,Conversational AI,Document Intelligence"
BusinessFunction,"Audit,Tax,Advisory,Deal Advisory,IT,Operations,Human Resources,Finance,Marketing,Legal,Risk & Compliance"
Quadrant,"Likely Wins,Calculated Risks,Marginal Gains,Avoid"
ScoreLevel,"low,medium,high"
PromptCategory,"Client Deliverables,Internal Productivity,Research & Analysis,Data & Finance,Creative & Marketing,Technical"
ComplexityLevel,"Beginner,Intermediate,Expert"
AITool,"ChatGPT,Microsoft Copilot,Google Gemini,Claude,Internal AI"
OutputFormat,"Bullet points,Table,Narrative,Structured narrative with bullet points,Code,JSON,Markdown"
PromptStatus,"Draft,Pending,Approved,Rejected,Archived"
